"file_name","text"
"image_92.jpg","Apulset-8mg Tablet"
"image_93.jpg","Aqualax Powder 85gm Powder"
"image_94.jpg","Arain 200mg Tablet"
"image_95.jpg","Arbitel 20mg Tablet"
"image_96.jpg","Arbitel 40mg Tablet"
"image_97.jpg","Arbitel 80mg Tablet"
"image_98.jpg","Arbitel AM 5/80mg+5mg Tablet"
"image_99.jpg","Arbitel Plus 40 12.5mg+40mg Tablet"
"image_100.jpg","Ardium 450mg+50mg Tablet"
"image_101.jpg","Aripen 10mg Tablet"
"image_102.jpg","Aripen 15mg Tablet"
"image_103.jpg","Aripra 10mg Tablet"
"image_104.jpg","Aripra 15mg Tablet"
"image_105.jpg","Ariprazole 10mg Tablet"
"image_106.jpg","Ariprazole 5mg Tablet"
"image_108.jpg","Ariprex 2mg Tablet"
"image_109.jpg","Aristo Mom  Tablet"
"image_110.jpg","Aristo Silver  Tablet"
"image_111.jpg","Aristobet  0.1%+0.5% Ointment"
"image_112.jpg","Aristocal 500mg Tablet"
"image_113.jpg","Aristocal D  Tablet"
"image_114.jpg","Aristocort 0.10% Cream"
"image_115.jpg","Aristocort 10gm Ointment 0.10% Ointment"
"image_116.jpg","Aristoderm 50mg+1gm+100mg/100gm Cream"
"image_117.jpg","Aristomox 250mg Capsule"
"image_118.jpg","Aristomox 500mg Capsule"
"image_119.jpg","Aristomox 125mg/5ml Powder for Suspension"
"image_120.jpg","Aristovit M  Tablet"
"image_122.jpg","Aritone Z  Syrup"
"image_128.jpg","Arlin 100mg/5ml Powder for Suspension"
"image_129.jpg","Arlin 400mg Tablet"
"image_130.jpg","Titan XXL Gel"
"image_131.jpg","Arnigen 100 49mg+51mg Tablet"
"image_132.jpg","Arnigen 50 24mg+26mg Tablet"
"image_133.jpg","Arocef 500mg Capsule"
"image_136.jpg","Arokast 10mg Tablet"
"image_137.jpg","Arokast 4mg Tablet"
"image_140.jpg","Aros 100mg Tablet"
"image_141.jpg","Arotril 0.5 0.5mg Tablet"
"image_142.jpg","Arotril 1mg Tablet"
"image_143.jpg","Arovent 10mg Tablet"
"image_144.jpg","Arovent 5mg Tablet"
"image_146.jpg","Aroxol 15mg/5ml Syrup"
"image_147.jpg","Aroxol PD 6mg/ml Pediatric Drops"
"image_148.jpg","Arpolax 20mg Tablet"
